documento,numero,fecha,grupo1,tipo,pedido,numpedido
18001530,1145.75,06/03/18,PACO REINA,Factura,Pedido,20060
18001529,415.26,06/03/18,PACO REINA,Factura,Pedido,16621
18006684,0.00,14/09/18,PACO REINA,Factura,Pedido,19966
18001528,508.37,06/03/18,PACO REINA,Factura,Pedido,19826
18009008,0.00,03/12/18,PACO REINA,Factura,Pedido,20070
18009009,413.93,03/12/18,PACO REINA,Factura,Pedido,19826
18009010,1334.10,03/12/18,PACO REINA,Factura,Pedido,20060
18009011,38.49,03/12/18,PACO REINA,Factura,Pedido,20146
18001527,0.00,06/03/18,PACO REINA,Factura,Pedido,20112
18001526,461.62,06/03/18,PACO REINA,Factura,Pedido,20179
18005422,122.40,02/08/18,PACO REINA,Factura,Pedido,19966
18005421,599.28,02/08/18,PACO REINA,Factura,Pedido,19966
18006915,1382.51,26/09/18,PACO REINA,Factura,Pedido,19826
18006916,38.56,26/09/18,PACO REINA,Factura,Pedido,20070
18006917,2291.40,26/09/18,PACO REINA,Factura,Pedido,20060
18006918,503.59,26/09/18,PACO REINA,Factura,Pedido,16621
18007338,10.00,10/10/18,PACO REINA,Factura,Pedido,19826
18004230,706.92,20/06/18,PACO REINA,Factura,Pedido,19826
18004229,378.24,20/06/18,PACO REINA,Factura,Pedido,20060
18001152,485.93,19/02/18,PACO REINA,Factura,Pedido,19966
18000234,120.33,11/01/18,PACO REINA,Factura,Pedido,16621
18000236,312.05,15/01/18,PACO REINA,Factura,Pedido,19966
18004215,2409.36,11/07/18,PACO REINA,Factura,Pedido,20309
18007730,1357.29,18/10/18,PACO REINA,Factura,Pedido,19966
18007744,833.91,22/10/18,PACO REINA,Factura,Pedido,19966
18007749,288.44,24/10/18,PACO REINA,Factura,Pedido,20179
18007750,3406.93,24/10/18,PACO REINA,Factura,Pedido,19826
18007751,2357.74,24/10/18,PACO REINA,Factura,Pedido,16621
18006515,13.28,12/09/18,PACO REINA,Factura,Pedido,20146
18005967,1166.05,22/08/18,PACO REINA,Factura,Pedido,20060
18005966,0.00,22/08/18,PACO REINA,Factura,Pedido,20309
18006514,105.20,12/09/18,PACO REINA,Factura,Pedido,20309
18006513,178.95,12/09/18,PACO REINA,Factura,Pedido,20070
18006512,1503.55,12/09/18,PACO REINA,Factura,Pedido,19826
18006511,202.43,12/09/18,PACO REINA,Factura,Pedido,16621
18006510,1764.15,12/09/18,PACO REINA,Factura,Pedido,20060
18006137,288.20,28/08/18,PACO REINA,Factura,Pedido,20070
18006136,219.48,28/08/18,PACO REINA,Factura,Pedido,20146
18006134,122.14,24/08/18,PACO REINA,Factura,Pedido,20309
18003239,0.00,16/05/18,PACO REINA,Factura,Pedido,20179
18003238,43.39,16/05/18,PACO REINA,Factura,Pedido,20146
18009392,599.29,17/12/18,PACO REINA,Factura,Pedido,19966
18003237,2149.29,16/05/18,PACO REINA,Factura,Pedido,16621
